[2019-06-05 16:40:14,970][MainThread:140264361404160][task_id:django.utils.autoreload][autoreload.py:576][INFO][Watching for file changes with StatReloader]
[2019-06-05 16:40:16,863][Thread-1:140264163432192][task_id:django.request][log.py:228][WARNING][Not Found: /]
[2019-06-05 16:40:17,653][Thread-1:140264163432192][task_id:django.request][log.py:228][WARNING][Not Found: /favicon.ico]
[2019-06-05 16:40:22,400][Thread-1:140264163432192][task_id:django.request][log.py:228][WARNING][Not Found: /static/admin/simpleui-x/fontawesome-free-5.8.1-web/css/all.min.css]
[2019-06-05 16:40:22,404][Thread-3:140264145860352][task_id:django.request][log.py:228][WARNING][Not Found: /static/admin/simpleui-x/img/logo.png]
[2019-06-05 16:40:22,405][Thread-2:140264154253056][task_id:django.request][log.py:228][WARNING][Not Found: /static/admin/simpleui-x/css/login.css]
[2019-06-05 16:40:22,409][Thread-4:140264137205504][task_id:django.request][log.py:228][WARNING][Not Found: /static/admin/simpleui-x/js/vue.min.js]
[2019-06-05 16:40:22,455][Thread-1:140264163432192][task_id:django.request][log.py:228][WARNING][Not Found: /static/admin/simpleui-x/js/login.js]
[2019-06-05 16:40:23,502][Thread-1:140264163432192][task_id:django.request][log.py:228][WARNING][Not Found: /static/admin/simpleui-x/js/login.js]
[2019-06-05 16:40:23,649][Thread-1:140264163432192][task_id:django.request][log.py:228][WARNING][Not Found: /static/admin/simpleui-x/img/favicon.png]
[2019-06-05 16:40:37,295][MainThread:140264361404160][task_id:django.utils.autoreload][autoreload.py:203][INFO][/home/zhangzhe/ProjectDir/zz_interfaceTest_web/ZZ_InterfaceTest_web/settings.py changed, reloading.]
[2019-06-05 16:40:37,881][MainThread:140445399295744][task_id:django.utils.autoreload][autoreload.py:576][INFO][Watching for file changes with StatReloader]
